0,,,1,,,2,,, 
-0.005838,-0.006924, ,0.001738,0.004367, ,427.5966447,-219.2418583, , 
-0.009494,-0.007954, ,0.004288,0.005353, ,426.9858071,-217.7720237, , 
-0.015557,-0.008545, ,0.007584,0.006095, ,426.6634365,-216.2132772, , 
-0.02439,-0.008613, ,0.012359,0.006537, ,426.4570412,-214.6352244, , 
-0.036386,-0.008173, ,0.019076,0.006647, ,426.2300513,-213.0600403, , 
-0.052123,-0.007288, ,0.027929,0.006427, ,425.9230749,-211.4984004, , 
-0.072241,-0.006038, ,0.038967,0.005906, ,425.5394868,-209.9537837, , 
-0.096699,-0.004493, ,0.052053,0.005129, ,425.1034327,-208.4231685, , 
-0.123267,-0.002712, ,0.066525,0.004144, ,424.6193438,-206.9070368, , 
-0.146304,-0.000747, ,0.080852,0.002994, ,424.050819,-205.4204658, , 
-0.158171,0.001345, ,0.092781,0.001719, ,423.3260447,-204.0035122, , 
-0.153954,0.003496, ,0.100065,0.000359, ,422.368298,-202.7324646, , 
-0.135119,0.00562, ,0.101303,-0.001042, ,421.1399192,-201.7206786, , 
-0.107883,0.007624, ,0.096371,-0.002429, ,419.6775638,-201.0929799, , 
-0.078717,0.009421, ,0.086281,-0.003735, ,418.0938624,-200.9368398, , 
-0.051612,0.010928, ,0.072685,-0.00489, ,416.535381,-201.259031, , 
-0.027983,0.012068, ,0.057345,-0.005825, ,415.1166846,-201.9803526, , 
-0.007717,0.012758, ,0.041777,-0.006474, ,413.872911,-202.9734642, , 
0.009825,0.012911, ,0.027087,-0.006773, ,412.7621821,-204.1133802, , 
0.025163,0.012465, ,0.01397,-0.006667, ,411.708833,-205.3064288, , 
0.038362,0.011438, ,0.002788,-0.006121, ,410.6489858,-206.4936943, , 
0.048995,0.009957, ,-0.006274,-0.005128, ,409.5498335,-207.6446872, , 
0.056457,0.008238, ,-0.013036,-0.003717, ,408.4035546,-208.7487626, , 
0.060543,0.006496, ,-0.017269,-0.001951, ,407.2123667,-209.8042281, , 
0.061827,0.00488, ,-0.018806,0.000071, ,405.9777399,-210.808533, , 
0.061392,0.003458, ,-0.01769,0.002213, ,404.697608,-211.7541469, , 
0.060226,0.002245, ,-0.014151,0.004294, ,403.3689199,-212.6302219, , 
0.058887,0.001232, ,-0.00843,0.006111, ,401.9906984,-213.4261058, , 
0.057545,0.000408, ,-0.000643,0.007478, ,400.5647353,-214.1329012, , 
0.05615,-0.000235, ,0.009301,0.008272, ,399.0946852,-214.742718, , 
0.054601,-0.0007, ,0.021728,0.008456, ,397.5857726,-215.2487692, , 
0.052846,-0.000995, ,0.037108,0.008062, ,396.0455346,-215.6494718, , 
0.050931,-0.001136, ,0.055745,0.007157, ,394.4837426,-215.9556256, , 
0.048978,-0.001152, ,0.077273,0.005825, ,392.9103235,-216.1950319, , 
0.047129,-0.001083, ,0.100031,0.004153, ,391.3331757,-216.4084569, , 
0.045505,-0.000967, ,0.120641,0.002226, ,389.7580472,-216.636201, , 
0.044178,-0.00083, ,0.134411,0.000132, ,388.1888412,-216.9017112, , 
0.043182,-0.000688, ,0.137141,-0.002038, ,386.6258542,-217.2017491, , 
0.042528,-0.000548, ,0.127561,-0.004188, ,385.0642616,-217.5089649, , 
0.042215,-0.000415, ,0.108223,-0.006223, ,383.4969,-217.7851638, , 
0.042237,-0.000295, ,0.083788,-0.008056, ,381.9196582,-217.9977714, , 
0.042576,-0.000195, ,0.058476,-0.009611, ,380.3337314,-218.1310231, , 
0.04318,-0.000125, ,0.034747,-0.010817, ,378.7431903,-218.1868504, , 
0.043949,-0.000095, ,0.013436,-0.011604, ,377.151702,-218.1768789, , 
0.044743,-0.000112, ,-0.005501,-0.011909, ,375.5614835,-218.1125908, , 
0.045413,-0.00018, ,-0.022258,-0.011694, ,373.973882,-218.0010481, , 
0.045845,-0.0003, ,-0.036717,-0.010971, ,372.3897065,-217.8483787, , 
0.045993,-0.000468, ,-0.048337,-0.009822, ,370.8085954,-217.6666552, , 
0.045868,-0.000677, ,-0.056483,-0.008401, ,369.2284394,-217.4768008, , 
0.04549,-0.000916, ,-0.060991,-0.006891, ,367.6464394,-217.3030559, , 
0.044844,-0.001177, ,-0.062448,-0.005452, ,366.0612567,-217.1612619, , 
0.043856,-0.001447, ,-0.06189,-0.004179, ,364.4737023,-217.048951, , 
0.042413,-0.001715, ,-0.060279,-0.003111, ,362.8855441,-216.9455448, , 
0.040424,-0.001968, ,-0.058268,-0.002244, ,361.2986395,-216.824561, , 
0.037867,-0.002194, ,-0.056265,-0.001559, ,359.7145892,-216.6706146, , 
0.034813,-0.002384, ,-0.054585,-0.001032, ,358.1334088,-216.4894584, , 
0.031399,-0.002529, ,-0.053532,-0.000646, ,356.5527832,-216.3035821, , 
0.027787,-0.002624, ,-0.053362,-0.000383, ,354.9701134,-216.1360761, , 
0.024121,-0.002665, ,-0.054204,-0.000223, ,353.3849691,-215.9937688, , 
0.020512,-0.002652, ,-0.055988,-0.000143, ,351.7989695,-215.8612707, , 
0.017038,-0.002583, ,-0.058437,-0.000111, ,350.2146452,-215.7101867, , 
0.013763,-0.002463, ,-0.061104,-0.000104, ,348.6348287,-215.5176516, , 
0.010743,-0.002296, ,-0.063472,-0.000106, ,347.0606548,-215.2833281, , 
0.008044,-0.002092, ,-0.065066,-0.000105, ,345.4882207,-215.0374701, , 
0.005728,-0.001863, ,-0.065562,-0.000095, ,343.908953,-214.840095, , 
0.003853,-0.001622, ,-0.064868,-0.000069, ,342.3187456,-214.7747108, , 
0.002456,-0.001379, ,-0.063163,-0.000025, ,340.7354535,-214.9362502, , 
0.001537,-0.001146, ,-0.060861,0.000039, ,339.2156066,-215.408205, , 
0.001062,-0.000929, ,-0.058498,0.000118, ,337.8525604,-216.2295359, , 
0.000953,-0.000734, ,-0.056575,0.000205, ,336.742072,-217.3694197, , 
0.001102,-0.000564, ,-0.055431,0.000291, ,335.9275211,-218.7366902, , 
0.001386,-0.000422, ,-0.055169,0.000368, ,335.3655915,-220.2258394, , 
0.001685,-0.000308, ,-0.055671,0.000434, ,334.9447497,-221.7607746, , 
0.001904,-0.000221, ,-0.056661,0.000488, ,334.5431973,-223.3007549, , 
0.001988,-0.000156, ,-0.057801,0.000535, ,334.0819701,-224.8239438, , 
0.001927,-0.000108, ,-0.058788,0.000583, ,333.5420708,-226.3211011, , 
0.00175,-0.000076, ,-0.059413,0.000638, ,332.947161,-227.7972604, , 
0.001502,-0.000059, ,-0.059562,0.000708, ,332.3335503,-229.2657281, , 
0.001218,-0.000066, ,-0.059179,0.000797, ,331.7276559,-230.7373974, , 
0.000916,-0.000111, ,-0.058242,0.000908, ,331.138712,-232.2159355, , 
0.000605,-0.000214, ,-0.056754,0.001044, ,330.5636614,-233.6999317, , 
0.000307,-0.000399, ,-0.054767,0.001214, ,329.9959719,-235.1867588, , 
0.000077,-0.000688, ,-0.052391,0.001427, ,329.4315418,-236.6748264, , 
0.000005,-0.001112, ,-0.049802,0.001698, ,328.8702473,-238.1640797, , 
0.000167,-0.00171, ,-0.04722,0.002042, ,328.3152308,-239.6556841, , 
0.00055,-0.002535, ,-0.044876,0.002473, ,327.7714535,-241.151422, , 
0.000965,-0.003649, ,-0.042951,0.003009, ,327.2432189,-242.6527186, , 
0.000998,-0.005092, ,-0.041507,0.003672, ,326.7306071,-244.159422, , 
0.000047,-0.00682, ,-0.040409,0.004494, ,326.2268476,-245.66911, , 
