1,,2,,3,,4,
384.4080221,-367.0139335,465.1025023,-309.8791197,386.6258542,-217.2017491,263.0324618,-330.5536407
385.9692786,-367.4134948,463.6473197,-310.3164526,385.0642616,-217.5089649,264.2339714,-331.6010015
387.5520664,-367.7167045,462.3717595,-311.1424837,383.4969,-217.7851638,265.4418882,-332.6409269
389.1519251,-367.9105841,461.2993773,-312.2193958,381.9196582,-217.9977714,266.6739009,-333.6522181
390.7616507,-367.987586,460.3653839,-313.4181879,380.3337314,-218.1310231,267.9266082,-334.6377685
392.372798,-367.9505383,459.4786724,-314.6522554,378.7431903,-218.1868504,269.186649,-335.613912
393.9782908,-367.8106404,458.5766833,-315.8752285,377.151702,-218.1768789,270.4427656,-336.5951006
395.5732616,-367.5798907,457.6352302,-317.0681052,375.5614835,-218.1125908,271.6909334,-337.5863845
397.1534139,-367.2631978,456.6470829,-318.2226031,373.973882,-218.0010481,272.9320699,-338.5864567
398.7124853,-366.8551959,455.5995225,-319.3234874,372.3897065,-217.8483787,274.1667292,-339.5945153
400.2405853,-366.3432731,454.4690928,-320.3390666,370.8085954,-217.6666552,275.3925113,-340.6133482
401.7244137,-365.7144688,453.2343109,-321.2247783,369.2284394,-217.4768008,276.6062676,-341.6464767
403.1496019,-364.9621526,451.8922537,-321.9375501,367.6464394,-217.3030559,277.8083897,-342.6931232
404.5043741,-364.0893741,450.4626903,-322.4528922,366.0612567,-217.1612619,279.0047155,-343.7463908
405.7827673,-363.1081126,448.977321,-322.773771,364.4737023,-217.048951,280.2037103,-344.7966152
406.9855923,-362.0355523,447.4653828,-322.9265495,362.8855441,-216.9455448,281.4109591,-345.8373416
408.118326,-360.8892148,445.9459212,-322.9495624,361.2986395,-216.824561,282.6256673,-346.8693553
409.1867473,-359.6827122,444.4277824,-322.8821697,359.7145892,-216.6706146,283.8420439,-347.8993996
410.1926004,-358.4235741,442.9133585,-322.7564845,358.1334088,-216.4894584,285.054419,-348.9341491
